kind,case_id,layout,task_index,our_training_split,target_object,condition,policy,correct_or_successful,control_steps,wall_seconds,axis_displacement_m,target_index,manual_seed
S,Sx_20_22_normal,Sx_20_22,20,train,,normal,native,True,145,22.389426797628403,,,23239
S,Sx_20_22_normal,Sx_20_22,20,train,,normal,best,True,145,27.766422730870545,,,23239
S,Sx_20_22_camera,Sx_20_22,20,train,,camera,native,True,145,22.53465059865266,,,23239
S,Sx_20_22_camera,Sx_20_22,20,train,,camera,best,True,130,25.25981360115111,,,23239
S,Sx_20_22_lighting,Sx_20_22,20,train,,lighting,native,True,135,21.463335062377155,,,23239
S,Sx_20_22_lighting,Sx_20_22,20,train,,lighting,best,True,140,27.063721175305545,,,23239
S,Sx_20_22_combined,Sx_20_22,20,train,,combined,native,True,160,24.24276696983725,,,23239
S,Sx_20_22_combined,Sx_20_22,20,train,,combined,best,True,140,26.827471926808357,,,23239
S,Sx_20_26_normal,Sx_20_26,20,train,,normal,native,True,130,21.1774273654446,,,23243
S,Sx_20_26_normal,Sx_20_26,20,train,,normal,best,True,170,31.333472173660994,,,23243
S,Sx_20_26_camera,Sx_20_26,20,train,,camera,native,True,150,23.21056065429002,,,23243
S,Sx_20_26_camera,Sx_20_26,20,train,,camera,best,True,145,27.725360377691686,,,23243
S,Sx_20_26_lighting,Sx_20_26,20,train,,lighting,native,True,130,21.08851481229067,,,23243
S,Sx_20_26_lighting,Sx_20_26,20,train,,lighting,best,True,155,29.166387408040464,,,23243
S,Sx_20_26_combined,Sx_20_26,20,train,,combined,native,True,160,24.4767115842551,,,23243
S,Sx_20_26_combined,Sx_20_26,20,train,,combined,best,True,140,27.489605200476944,,,23243
S,Sx_20_34_normal,Sx_20_34,20,train,,normal,native,True,140,22.02739775646478,,,23251
S,Sx_20_34_normal,Sx_20_34,20,train,,normal,best,True,135,26.34268045425415,,,23251
S,Sx_20_34_camera,Sx_20_34,20,train,,camera,native,True,135,21.52708224672824,,,23251
S,Sx_20_34_camera,Sx_20_34,20,train,,camera,best,True,160,29.359744518995285,,,23251
S,Sx_20_34_lighting,Sx_20_34,20,train,,lighting,native,True,140,21.885426026768982,,,23251
S,Sx_20_34_lighting,Sx_20_34,20,train,,lighting,best,True,150,28.180190137587488,,,23251
